Título,Idioma,Extensión,Colección,link_descarga,link_epub,image_url,enlace_drive_exp
El gos de casa : narració de Àngel Guimerá per servir de lectura a les escoles de Catalunya,Catalán,Lectura rápida,Lenguaje,http://bdh-rd.bne.es/high.raw?id=0000188772&name=00000001.epub&attachment=El%20gos%20de%20casa%20%3A%20narraci%C3%B3%20de%20%C3%80ngel%20Guimer%C3%A1%20per%20servir%20de%20lectura%20a%20les%20escoles%20de%20Catalunya.epub,https://bdh-rd.bne.es/epub.vm?id=0000188772&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000188772&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1JEQheW_ZivNSWfhn-hw1F4tZSSxD6iM-
Las llaves,Español,Lectura cómoda,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000086874&name=00000001.epub&attachment=Las%20llaves.epub,https://bdh-rd.bne.es/epub.vm?id=0000086874&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000086874&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1Ys1fLUPAeWG6Otq8sxIM-69NbmOL5Z4W
Jovellanos su vida y su obra,Español,Lectura cómoda,Biografías,http://bdh-rd.bne.es/high.raw?id=0000247414&name=00000001.epub&attachment=Jovellanos%20su%20vida%20y%20su%20obra.epub,https://bdh-rd.bne.es/epub.vm?id=0000247414&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000247414&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1nbxgJ1OjK33_Ji5q975Ep6AqzlqyNifD
"El Romancero español poema regenerador, con introducción y epílogos simbólicos y precedido de un prólogo sociológico... Urania",Español,Lectura cómoda,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000228052&name=00000001.epub&attachment=El%20Romancero%20espa%C3%B1ol%20poema%20regenerador%2C%20con%20introducci%C3%B3n%20y%20ep%C3%ADlogos%20simb%C3%B3licos%20y%20precedido%20de%20un%20pr%C3%B3logo%20sociol%C3%B3gico...%20Urania.epub,https://bdh-rd.bne.es/epub.vm?id=0000228052&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000228052&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1bNdxxqnhau5myj5HWdt9PQuC1w2HzCt_
El rayo que no cesa y otros poemas (1934-1936),Español,Lectura rápida,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000269651&name=00000001.epub&attachment=El%20rayo%20que%20no%20cesa%20y%20otros%20poemas%20%281934-1936%29.epub,https://bdh-rd.bne.es/epub.vm?id=0000269651&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000269651&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1IY-IeB4F8p6BEKDhfgINaj7cDmEObmWC
Las pascuas del tiempo (poesías y otros poemas),Español,Lectura rápida,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000091332&name=00000001.epub&attachment=Las%20pascuas%20del%20tiempo%20%28poes%C3%ADas%20y%20otros%20poemas%29.epub,https://bdh-rd.bne.es/epub.vm?id=0000091332&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000091332&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=18wX_lvG8Jw8VY5W2VvihQAt6PtdZeexo
El oscuro dominio : novela,Español,Lectura rápida,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000256239&name=00000001.epub&attachment=El%20oscuro%20dominio%20%3A%20novela.epub,https://bdh-rd.bne.es/epub.vm?id=0000256239&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000256239&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=15KnR0Gae6z-YAtKzPPZYQxvlFSGsoAH_
"Cultura femenina (Estudi y orientacions). Conferences donades en l'""Ateneu Barcelonés"" els dies 6, 13 y 20 d'Abril de 1910",Catalán,Lectura cómoda,Colección Mujer,http://bdh-rd.bne.es/high.raw?id=0000288635&name=00000001.epub&attachment=Cultura%20femenina%20%28Estudi%20y%20orientacions%29.%20Conferences%20donades%20en%20l%27%22Ateneu%20Barcelon%C3%A9s%22%20els%20dies%206%2C%2013%20y%2020%20d%27Abril%20de%201910.epub,https://bdh-rd.bne.es/epub.vm?id=0000288635&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000288635&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1OwXNximkVE5ANY7rDYRqUedzFflQhpAw
Cuentos escogidos,Español,Lectura cómoda,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000245171&name=00000001.epub&attachment=Cuentos%20escogidos.epub,https://bdh-rd.bne.es/epub.vm?id=0000245171&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000245171&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1tsl2udrq3bo1d5bvu2TZCT6VtWltBe-8
Cuentos políticos,Español,Lectura cómoda,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000239249&name=00000001.epub&attachment=Cuentos%20pol%C3%ADticos.epub,https://bdh-rd.bne.es/epub.vm?id=0000239249&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000239249&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1rYcZgCEurEBFxydjRqGT02Uv1f8z-fZs
