Título,Idioma,Extensión,Colección,link_descarga,link_epub,image_url,enlace_drive_exp
Sociología zoológica : nociones generales,Español,Lectura cómoda,Zoología y Botánica,http://bdh-rd.bne.es/high.raw?id=0000200468&name=00000001.epub&attachment=Sociolog%C3%ADa%20zool%C3%B3gica%20%3A%20nociones%20generales.epub,https://bdh-rd.bne.es/epub.vm?id=0000200468&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000200468&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1ezzvnpcmOKmDoeK8r_3e3z2J_1MWOJ7Y
El divorcio en España,Español,Lectura rápida,Colección Mujer,http://bdh-rd.bne.es/high.raw?id=0000149063&name=00000001.epub&attachment=El%20divorcio%20en%20Espa%C3%B1a.epub,https://bdh-rd.bne.es/epub.vm?id=0000149063&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000149063&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1lj-81F9FNXNVPPtYBeVVl1r6wvIQI8hx
Un asunto tenebroso novela,Español,Lectura sustanciosa,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000269609&name=00000001.epub&attachment=Un%20asunto%20tenebroso%20novela.epub,https://bdh-rd.bne.es/epub.vm?id=0000269609&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000269609&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1GAu4HLnj6Ppl5Uba2-7Guf2trVIclDxt
España impresiones de un viaje hecho durante el reinado de Don Amadeo I,Español,Lectura sustanciosa,Viajes,http://bdh-rd.bne.es/high.raw?id=0000039062&name=00000001.epub&attachment=Espa%C3%B1a%20impresiones%20de%20un%20viaje%20hecho%20durante%20el%20reinado%20de%20Don%20Amadeo%20I.epub,https://bdh-rd.bne.es/epub.vm?id=0000039062&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000039062&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1VV9g_i08hubKW_F-BdF-nNq6a1QPZz-I
"Cervantes, viajero",Español,Lectura rápida,Viajes,http://bdh-rd.bne.es/high.raw?id=0000001213&name=00000001.epub&attachment=Cervantes%2C%20viajero.epub,https://bdh-rd.bne.es/epub.vm?id=0000001213&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000001213&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1NjPdqyfVLm3oZt1sn_4Z2FtjugdY11o2
Primer romancero gitano : 1924-1927,Español,Lectura rápida,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000200883&name=00000001.epub&attachment=Primer%20romancero%20gitano%20%3A%201924-1927.epub,https://bdh-rd.bne.es/epub.vm?id=0000200883&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000200883&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1l4KG5unA1aGE2uAw89iWAlta0Wdx8QTv
Obras en prosa de D. Enrique Gil y Carrasco,Español,Tocho apasionante,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000136753&name=00000001.epub&attachment=Obras%20en%20prosa%20de%20D.%20Enrique%20Gil%20y%20Carrasco.epub,https://bdh-rd.bne.es/epub.vm?id=0000136753&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000136753&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1Qmy8xhEBqD5LUcp__0ziQc3sOeuOuN4Z
Autobiografía y cartas (hasta ahora inéditas) de la ilustre poetisa Gertrudis Gómez de Avellaneda,Español,Lectura cómoda,Colección Mujer,http://bdh-rd.bne.es/high.raw?id=0000088375&name=00000001.epub&attachment=Autobiograf%C3%ADa%20y%20cartas%20%28hasta%20ahora%20in%C3%A9ditas%29%20de%20la%20ilustre%20poetisa%20Gertrudis%20G%C3%B3mez%20de%20Avellaneda.epub,https://bdh-rd.bne.es/epub.vm?id=0000088375&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000088375&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1bz8B1khlYR4h7zW5MtOI0gn2a3tIpPIA
Cuentos de la Alhambra,Español,Lectura cómoda,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000091351&name=00000001.epub&attachment=Cuentos%20de%20la%20Alhambra.epub,https://bdh-rd.bne.es/epub.vm?id=0000091351&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000091351&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1BtNriLj91mTFzJNxN3XTaue-5rEWQOGQ
Historia del Emperador Carlos V (1500 a 1558),Español,Lectura sustanciosa,Historia de España,http://bdh-rd.bne.es/high.raw?id=0000239867&name=00000001.epub&attachment=Historia%20del%20Emperador%20Carlos%20V%20%281500%20a%201558%29.epub,https://bdh-rd.bne.es/epub.vm?id=0000239867&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000239867&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1aqf5Hv--4Fc-z0p1d5WNwpPQlr_kpLIS
España en Marruecos el Raisuni,Español,Lectura cómoda,Historia de España,http://bdh-rd.bne.es/high.raw?id=0000292075&name=00000001.epub&attachment=Espa%C3%B1a%20en%20Marruecos%20el%20Raisuni.epub,https://bdh-rd.bne.es/epub.vm?id=0000292075&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000292075&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1_uQioxUKvkDvDtSR3_GHujVLoYpTvcEs
Leyendas históricas árabes,Español,Tocho apasionante,Historia de España,http://bdh-rd.bne.es/high.raw?id=0000052580&name=00000001.epub&attachment=Leyendas%20hist%C3%B3ricas%20%C3%A1rabes.epub,https://bdh-rd.bne.es/epub.vm?id=0000052580&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000052580&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=10N4DN5YGnC25syTZ-sFdQTcD6t_lpW5f
Centauros del Pirineo,Español,Lectura cómoda,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000290749&name=00000001.epub&attachment=Centauros%20del%20Pirineo.epub,https://bdh-rd.bne.es/epub.vm?id=0000290749&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000290749&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1EQp3oKZ6fI9cjNKJ-F3HXNxCI1E6mlnX
Estampas del camino,Español,Lectura cómoda,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000290099&name=00000001.epub&attachment=Estampas%20del%20camino.epub,https://bdh-rd.bne.es/epub.vm?id=0000290099&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000290099&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1ZMVEpdImDQL5GcQJTMeKosGWjE2z0hcD
Hacia otra España,Español,Lectura cómoda,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000201529&name=00000001.epub&attachment=Hacia%20otra%20Espa%C3%B1a.epub,https://bdh-rd.bne.es/epub.vm?id=0000201529&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000201529&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1iwBh7t4seZ99UEj6vLZr0hw5vQINYF2w
Novelas de doña María de Zayas y Sotomayor,Español,Lectura cómoda,Colección Mujer,http://bdh-rd.bne.es/high.raw?id=0000178665&name=00000001.epub&attachment=Novelas%20de%20do%C3%B1a%20Mar%C3%ADa%20de%20Zayas%20y%20Sotomayor.epub,https://bdh-rd.bne.es/epub.vm?id=0000178665&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000178665&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1YoGpmjVaIyBdOW3XuGuTtOwO1azcMbu5
Tratado de esgrima de sable y florete,Español,Lectura rápida,Otros,http://bdh-rd.bne.es/high.raw?id=0000141122&name=00000001.epub&attachment=Tratado%20de%20esgrima%20de%20sable%20y%20florete.epub,https://bdh-rd.bne.es/epub.vm?id=0000141122&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000141122&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1Wbpk0xi0j8k_L3WOLg6_vWw2BR1ZLAXV
Versos,Español,Lectura cómoda,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000112792&name=00000001.epub&attachment=Versos.epub,https://bdh-rd.bne.es/epub.vm?id=0000112792&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000112792&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1nYWHreWglEmagDw6G8iHArKTkKd93LpM
Opúsculos literarios i críticos,Español,Tocho apasionante,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000241440&name=00000001.epub&attachment=Op%C3%BAsculos%20literarios%20i%20cr%C3%ADticos.epub,https://bdh-rd.bne.es/epub.vm?id=0000241440&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000241440&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1ruVbggDR3P6OL-SxsMFui3TUab2PwZT7
El saludo de las brujas,Español,Lectura cómoda,Colección Mujer,http://bdh-rd.bne.es/high.raw?id=0000201186&name=00000001.epub&attachment=El%20saludo%20de%20las%20brujas.epub,https://bdh-rd.bne.es/epub.vm?id=0000201186&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000201186&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1f1eDen_FB0s_yxo-WRG677VyccvSBbG2
Cuentos de la tierra (obra póstuma),Español,Lectura cómoda,Colección Mujer,http://bdh-rd.bne.es/high.raw?id=0000108418&name=00000001.epub&attachment=Cuentos%20de%20la%20tierra%20%28obra%20p%C3%B3stuma%29.epub,https://bdh-rd.bne.es/epub.vm?id=0000108418&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000108418&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1zWAVzBqELvI6NOfz8nq90PDnoQWDMBsd
"Obra nueuamente compuesta por Frãcisco Gonçalez de Figueroa, ... sacada de vna verdadera relacion, dandose cuenta la vida, y el martyrio de vna santa muger española, y fue, que la quemaron viua en la ciudad de Hierusal?, en el monte Caluario, donde fue crucificado nuestro Señor Iesu Christo, y esto hizieron los Turcos ... el Domingo de Ramos en el año passado de mil y quinientos y ochenta, porque predicaua la ley de nuestro Señor Iesu Christo ...",Español,Lectura exprés,Literatura de la Edad Media,http://bdh-rd.bne.es/high.raw?id=0000231830&name=00000001.epub&attachment=Obra%20nueuamente%20compuesta%20por%20Fr%C3%A3cisco%20Gon%C3%A7alez%20de%20Figueroa%2C%20...%20sacada%20de%20vna%20verdadera%20relacion%2C%20dandose%20cuenta%20la%20vida%2C%20y%20el%20martyrio%20de%20vna%20santa%20muger%20espa%C3%B1ola%2C%20y%20fue%2C%20que%20la%20quemaron%20viua%20en%20la%20ciudad%20de%20Hierusal%3F%2C%20en%20el%20monte%20Caluario%2C%20donde%20fue%20crucificado%20nuestro%20Se%C3%B1or%20Iesu%20Christo%2C%20y%20esto%20hizieron%20los%20Turcos%20...%20el%20Domingo%20de%20Ramos%20en%20el%20a%C3%B1o%20passado%20de%20mil%20y%20quinientos%20y%20ochenta%2C%20porque%20predicaua%20la%20ley%20de%20nuestro%20Se%C3%B1or%20Iesu%20Christo%20....epub,https://bdh-rd.bne.es/epub.vm?id=0000231830&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000231830&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1uvCz2ui5CetSjiIopFqqVEA-Wbg8iBYW
Historietas nacionales,Español,Lectura sustanciosa,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000099140&name=00000001.epub&attachment=Historietas%20nacionales.epub,https://bdh-rd.bne.es/epub.vm?id=0000099140&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000099140&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1eN3jsiB7j72Ww3yxhbBir_DT5MIgrCVm
Tirano Banderas : novela de tierra caliente,Español,Lectura cómoda,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000200697&name=00000001.epub&attachment=Tirano%20Banderas%20%3A%20novela%20de%20tierra%20caliente.epub,https://bdh-rd.bne.es/epub.vm?id=0000200697&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000200697&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1jV3kGKu28DEkp5T1M_lekkEU4kvnDZcf
Cuentos campesinos,Español,Lectura sustanciosa,Colección Mujer,http://bdh-rd.bne.es/high.raw?id=0000160037&name=00000001.epub&attachment=Cuentos%20campesinos.epub,https://bdh-rd.bne.es/epub.vm?id=0000160037&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000160037&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1keDFRqf2YIIusy_NecarHA1konEtu4Fu
Cuba,Español,Lectura sustanciosa,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000147757&name=00000001.epub&attachment=Cuba.epub,https://bdh-rd.bne.es/epub.vm?id=0000147757&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000147757&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1H2dpTXtUL64xSTQnAbsqURkT49P7OqER
La buscona novela médico-social : (tercera parte de La prostituta),Español,Lectura cómoda,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000171684&name=00000001.epub&attachment=La%20buscona%20novela%20m%C3%A9dico-social%20%3A%20%28tercera%20parte%20de%20La%20prostituta%29.epub,https://bdh-rd.bne.es/epub.vm?id=0000171684&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000171684&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1jEwqw_5_R8lSDu5EkfCH-NOWdxN8JdGG
"Wagner, mitólogo y ocultista : (el drama musical de Wagner y los misterios de la Antigüedad)",Español,Tocho apasionante,Religión y Mística,http://bdh-rd.bne.es/high.raw?id=0000111282&name=00000001.epub&attachment=Wagner%2C%20mit%C3%B3logo%20y%20ocultista%20%3A%20%28el%20drama%20musical%20de%20Wagner%20y%20los%20misterios%20de%20la%20Antig%C3%BCedad%29.epub,https://bdh-rd.bne.es/epub.vm?id=0000111282&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000111282&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1eoissEuZqYdRnq_tosP7XPzT3MryxEz3
Memorias de un cortesano de 1815,Español,Lectura cómoda,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000071504&name=00000001.epub&attachment=Memorias%20de%20un%20cortesano%20de%201815.epub,https://bdh-rd.bne.es/epub.vm?id=0000071504&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000071504&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=18apdJaqnKJVkNeVUiNwqds4iXJ8atk3B
Zaragoza,Español,Lectura cómoda,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000071584&name=00000001.epub&attachment=Zaragoza.epub,https://bdh-rd.bne.es/epub.vm?id=0000071584&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000071584&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1gOBZcNmppiB2hSAVVlipETn3t2y2Iwbq
"¿Quo vadis, burguesía?",Español,Lectura exprés,Colección Mujer,http://bdh-rd.bne.es/high.raw?id=0000140627&name=00000001.epub&attachment=%C2%BFQuo%20vadis%2C%20burgues%C3%ADa%3F.epub,https://bdh-rd.bne.es/epub.vm?id=0000140627&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000140627&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1Cr06Z30el72mOLPgWjMGl1xXviYY7Iyi
Juan Martín el Empecinado,Español,Lectura cómoda,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000219877&name=00000001.epub&attachment=Juan%20Mart%C3%ADn%20el%20Empecinado.epub,https://bdh-rd.bne.es/epub.vm?id=0000219877&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000219877&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1jdvdmTMUJ6IhM1pf7pljdBT966bXPxbV
Bodas de sangre,Español,Lectura rápida,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000200765&name=00000001.epub&attachment=Bodas%20de%20sangre.epub,https://bdh-rd.bne.es/epub.vm?id=0000200765&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000200765&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1k7IfxBiyY_QSNp1yWy6gx2AD63SH1f9u
"Conversaciones de Ulloa con sus tres hijos en servicio de la Marina instructivas y curiosas, sobre las navegaciones, y modo de hacerlas, el pilotage, y la maniobra ; noticia de vientos, mares, corrientes, páxaros, pescados y anfibios, y de los fenómenos que se observán en los mares en la redondez del globo",Español,Lectura cómoda,Lenguaje,http://bdh-rd.bne.es/high.raw?id=0000106007&name=00000001.epub&attachment=Conversaciones%20de%20Ulloa%20con%20sus%20tres%20hijos%20en%20servicio%20de%20la%20Marina%20instructivas%20y%20curiosas%2C%20sobre%20las%20navegaciones%2C%20y%20modo%20de%20hacerlas%2C%20el%20pilotage%2C%20y%20la%20maniobra%20%3B%20noticia%20de%20vientos%2C%20mares%2C%20corrientes%2C%20p%C3%A1xaros%2C%20pescados%20y%20anfibios%2C%20y%20de%20los%20fen%C3%B3menos%20que%20se%20observ%C3%A1n%20en%20los%20mares%20en%20la%20redondez%20del%20globo.epub,https://bdh-rd.bne.es/epub.vm?id=0000106007&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000106007&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=18xwULDUhIEg5SFgVIYpra9FkmXNkUpZ4
Cartas marruecas,Español,Lectura cómoda,Literatura del Siglo de Oro,http://bdh-rd.bne.es/high.raw?id=0000094436&name=00000001.epub&attachment=Cartas%20marruecas.epub,https://bdh-rd.bne.es/epub.vm?id=0000094436&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000094436&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1319EjMywHzfvWwzAFq6You7GrAfUVbuf
Catalin : comedia en prosa,Español,Lectura rápida,Literatura del Siglo de Oro,http://bdh-rd.bne.es/high.raw?id=0000268443&name=00000001.epub&attachment=Catalin%20%3A%20comedia%20en%20prosa.epub,https://bdh-rd.bne.es/epub.vm?id=0000268443&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000268443&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1FjoYTsV3Hq9EFKuNLf6oxcaADTgJH0uo
Breve relacion de la destruccion de las Indias Occidentales ...,Español,Lectura cómoda,Historia de América,http://bdh-rd.bne.es/high.raw?id=0000049028&name=00000001.epub&attachment=Breve%20relacion%20de%20la%20destruccion%20de%20las%20Indias%20Occidentales%20....epub,https://bdh-rd.bne.es/epub.vm?id=0000049028&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000049028&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=10TezjD4OW-4PAobbWsFoNZJ0woo7-pCT
Breve relacion de la destruccion de las Indias Occidentales ...,Español,Lectura cómoda,Historia de América,http://bdh-rd.bne.es/high.raw?id=0000049028&name=00000001.epub&attachment=Breve%20relacion%20de%20la%20destruccion%20de%20las%20Indias%20Occidentales%20....epub,https://bdh-rd.bne.es/epub.vm?id=0000049028&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000049028&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=10TezjD4OW-4PAobbWsFoNZJ0woo7-pCT
Rimas del secretario Lupercio Leonardo de Argensola,Español,Lectura cómoda,Literatura del Siglo de Oro,http://bdh-rd.bne.es/high.raw?id=0000096488&name=00000001.epub&attachment=Rimas%20del%20secretario%20Lupercio%20Leonardo%20de%20Argensola.epub,https://bdh-rd.bne.es/epub.vm?id=0000096488&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000096488&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1i61CcoUkMYJAqutYru6uyy-D1WTxymL-
El sí de las niñas comedia en tres actos en prosa,Español,Lectura rápida,Literatura del Siglo XVIII,http://bdh-rd.bne.es/high.raw?id=0000040203&name=00000001.epub&attachment=El%20s%C3%AD%20de%20las%20ni%C3%B1as%20comedia%20en%20tres%20actos%20en%20prosa.epub,https://bdh-rd.bne.es/epub.vm?id=0000040203&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000040203&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1kNROqA5qIW2dHUkSQwC3qakvURP4TFTZ
"Desengaño de malos traductores : obra crítica en que se censura la nueva versión del Poema de la Religion de Luis Racine, y se intenta contener á los que se arrojan á traducir sin los debidos conocimientos",Español,Lectura rápida,Lenguaje,http://bdh-rd.bne.es/high.raw?id=0000044101&name=00000001.epub&attachment=Desenga%C3%B1o%20de%20malos%20traductores%20%3A%20obra%20cr%C3%ADtica%20en%20que%20se%20censura%20la%20nueva%20versi%C3%B3n%20del%20Poema%20de%20la%20Religion%20de%20Luis%20Racine%2C%20y%20se%20intenta%20contener%20%C3%A1%20los%20que%20se%20arrojan%20%C3%A1%20traducir%20sin%20los%20debidos%20conocimientos.epub,https://bdh-rd.bne.es/epub.vm?id=0000044101&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000044101&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1SdvLWll1GpBuSxjouRUE6zttlX4ft9Zn
Cartas de Juan de la Encina,Español,Lectura rápida,Literatura del Siglo XVIII,http://bdh-rd.bne.es/high.raw?id=0000057210&name=00000001.epub&attachment=Cartas%20de%20Juan%20de%20la%20Encina.epub,https://bdh-rd.bne.es/epub.vm?id=0000057210&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000057210&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1THyeydOSjY1zn0iZzwVBBszxdaMUSeXc
"Memorias del General Miller, al servicio de la República del Perú",Español,Lectura sustanciosa,Literatura del Siglo XIX,http://bdh-rd.bne.es/high.raw?id=0000203067&name=00000001.epub&attachment=Memorias%20del%20General%20Miller%2C%20al%20servicio%20de%20la%20Rep%C3%BAblica%20del%20Per%C3%BA.epub,https://bdh-rd.bne.es/epub.vm?id=0000203067&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000203067&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1udixIdgj5EcZ0Y2ymPL2jIwogRtBn8Rc
Emilio o La educación,Español,Tocho apasionante,Filosofía y Psicología,http://bdh-rd.bne.es/high.raw?id=0000134000&name=00000001.epub&attachment=Emilio%20o%20La%20educaci%C3%B3n.epub,https://bdh-rd.bne.es/epub.vm?id=0000134000&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000134000&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1m-QRa5ZtiReuzVAKAdq1D6QH83OaUOq3
"Introduccion y camino para la sabiduría donde se declara que cosa sea, y se ponen grandes avisos para la vida humana",Español,Lectura cómoda,Filosofía y Psicología,http://bdh-rd.bne.es/high.raw?id=0000127944&name=00000001.epub&attachment=Introduccion%20y%20camino%20para%20la%20sabidur%C3%ADa%20donde%20se%20declara%20que%20cosa%20sea%2C%20y%20se%20ponen%20grandes%20avisos%20para%20la%20vida%20humana.epub,https://bdh-rd.bne.es/epub.vm?id=0000127944&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000127944&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1IXWMV7RHe31UoTktcQbUVr0vS8dsogW2
Coplas y chistes muy graciosos para cantar y tañer al tono de la viguela,Español,Lectura exprés,Literatura de la Edad Media,http://bdh-rd.bne.es/high.raw?id=0000037752 &name=00000001.epub&attachment=Coplas%20y%20chistes%20muy%20graciosos%20para%20cantar%20y%20ta%C3%B1er%20al%20tono%20de%20la%20viguela.epub,https://bdh-rd.bne.es/epub.vm?id=0000037752&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000037752&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1X3MKryr48TinD320lQbjvvLbri2yNZU2
Aqui comiençan dos roma[n]ces con sus glosas. El primero de Durandarte. El segundo de vn gentil hombre que despues de gran prosperidad se vio en muy mayor necessidad,Español,Lectura exprés,Literatura de la Edad Media,http://bdh-rd.bne.es/high.raw?id=0000051610 &name=00000001.epub&attachment=Aqui%20comien%C3%A7an%20dos%20roma%5Bn%5Dces%20con%20sus%20glosas.%20El%20primero%20de%20Durandarte.%20El%20segundo%20de%20vn%20gentil%20hombre%20que%20despues%20de%20gran%20prosperidad%20se%20vio%20en%20muy%20mayor%20necessidad.epub,https://bdh-rd.bne.es/epub.vm?id=0000051610&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000051610&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1kj1fTU9CWSVds6mh0t1ZUYedOiZDemWi
Baza de espadas,Español,Lectura cómoda,Literatura del Siglo XX,http://bdh-rd.bne.es/high.raw?id=0000200793&name=00000001.epub&attachment=Baza%20de%20espadas.epub,https://bdh-rd.bne.es/epub.vm?id=0000200793&page=1#epubcfi(/6/2[id_portada]!/4/1:0),http://bdh-rd.bne.es/pdf.raw?query=id:0000200793&page=1&jpeg=true,https://drive.google.com/uc?export=view&id=1cIfsB0bdDENV5nbpDdWqHEC1OFHrJbgi
